snapped_at,price,market_cap,total_volume
2020-09-17 00:00:00 UTC,3.443832391414463,219913212.47869825,1802085330.293668
2020-09-18 00:00:00 UTC,3.443832391414463,219913212.47869825,1802085330.293668
2020-09-19 00:00:00 UTC,7.097694014200204,732822061.0330777,5688408416.882498
2020-09-20 00:00:00 UTC,5.70206055383495,647208421.0707141,2050756493.4922128
2020-09-21 00:00:00 UTC,5.2565793825170735,632421347.516945,1316669226.584856
2020-09-22 00:00:00 UTC,4.294819485815088,526520586.4595031,1074198632.0904953
2020-09-23 00:00:00 UTC,3.908448811536275,487186362.8207512,697928916.822781
2020-09-24 00:00:00 UTC,4.342896875450136,558449301.5904285,976430280.4460804
2020-09-25 00:00:00 UTC,5.138560549020832,670712373.8758416,776760499.8672208
2020-09-26 00:00:00 UTC,4.908146351132066,646853075.5351808,626823584.8121407
2020-09-27 00:00:00 UTC,4.868443821195302,691125372.1503159,363925152.74854934
2020-09-28 00:00:00 UTC,4.84498539130982,689402232.077857,341577705.09212464
2020-09-29 00:00:00 UTC,4.25191370645272,622352706.2677808,335772345.27508086
2020-09-30 00:00:00 UTC,4.34148712066533,641030584.1185127,279012123.5261533
2020-10-01 00:00:00 UTC,4.153261217519703,620840802.3152523,215900631.37764025
2020-10-02 00:00:00 UTC,4.243965217954716,636514926.1406465,370977286.8729862
2020-10-03 00:00:00 UTC,3.900844835698331,643770085.9726512,326043384.39330953
2020-10-04 00:00:00 UTC,3.8944884468656493,704073930.1747521,212356215.25192958
2020-10-05 00:00:00 UTC,3.7212077302504327,676286308.1652026,244544989.9204514
2020-10-06 00:00:00 UTC,3.3215235896179327,604064456.4319452,298746894.4948947
2020-10-07 00:00:00 UTC,2.692316035364427,484435475.7614607,384108414.06590426
2020-10-08 00:00:00 UTC,2.9633106457240044,540709193.0312451,438926126.0949557
2020-10-09 00:00:00 UTC,3.3087426484261653,603384806.4011482,487646893.72824025
2020-10-10 00:00:00 UTC,3.4063702284741098,624766817.730759,377780662.2426213
2020-10-11 00:00:00 UTC,3.2985121862701763,605086419.1414492,285868091.87820065
2020-10-12 00:00:00 UTC,3.3740359912431286,620284007.0059217,198779007.3459148
2020-10-13 00:00:00 UTC,3.449721633623473,636858098.7676747,262845150.32599124
2020-10-14 00:00:00 UTC,3.3499527005941827,619474718.5315652,156290894.72836718
2020-10-15 00:00:00 UTC,3.122753139292542,577560863.213238,260812435.53290272
