snapped_at,price,market_cap,total_volume
2020-10-15 00:00:00 UTC,61.03842014517164,915358566.5801963,132708244.77914505
2020-10-16 00:00:00 UTC,61.03842014517164,915358566.5801963,132708244.77914505
2020-10-17 00:00:00 UTC,44.77615101873951,696448104.4626515,274288780.331303
2020-10-18 00:00:00 UTC,42.37271342853077,685643708.4308554,98808556.85966852
2020-10-19 00:00:00 UTC,32.71113233658529,547941026.327637,76475484.52474798
2020-10-20 00:00:00 UTC,33.8709208971172,589652748.8900975,137021232.89625403
2020-10-21 00:00:00 UTC,31.13609652657138,561260924.5694939,53539364.97384532
2020-10-22 00:00:00 UTC,26.805785916433425,504058107.7526195,78677831.46504025
2020-10-23 00:00:00 UTC,23.726553001137823,457773215.5734711,82368454.65617654
2020-10-24 00:00:00 UTC,24.698251881253096,498912998.76787466,94966073.05700068
2020-10-25 00:00:00 UTC,25.715797622859426,533304564.15336514,94324623.15035972
2020-10-26 00:00:00 UTC,38.95813731766341,831426219.0333773,256373180.47346583
2020-10-27 00:00:00 UTC,33.62610370159718,735842404.2936687,177735936.92606768
2020-10-28 00:00:00 UTC,35.23708314972304,810185443.2369088,112150052.77565424
2020-10-29 00:00:00 UTC,33.669868892285315,789683425.6468997,94647071.15054014
2020-10-30 00:00:00 UTC,32.56480146503134,785185480.0337508,69548217.67366283
2020-10-31 00:00:00 UTC,29.23454574803566,723733376.0240886,92361898.02342685
2020-11-01 00:00:00 UTC,31.068181236508327,790579447.5429803,79127391.34417841
2020-11-02 00:00:00 UTC,31.59249510134677,824027456.289055,45473460.97051176
2020-11-03 00:00:00 UTC,29.72111722170825,797862243.2950338,69556469.16962257
2020-11-04 00:00:00 UTC,28.863213090978785,784453957.084558,53061021.01122654
2020-11-05 00:00:00 UTC,28.89940702403186,808899170.7512995,51858223.52657145
2020-11-06 00:00:00 UTC,29.43749673123257,848688650.7816124,53073486.40389357
2020-11-07 00:00:00 UTC,31.67873056481789,932478272.7988046,114784886.49214192
2020-11-08 00:00:00 UTC,29.92173183428666,898570414.5183412,117187621.01006325
2020-11-09 00:00:00 UTC,30.714377624545733,946765111.5270145,43569925.030961335
2020-11-10 00:00:00 UTC,31.27614564306925,980175251.2973187,70589681.3466677
2020-11-11 00:00:00 UTC,30.355539393303946,971324219.7046409,77788935.21881078
2020-11-12 00:00:00 UTC,30.074590872459012,977836168.1515619,63350376.68472261
2020-11-13 00:00:00 UTC,29.501387631396128,980940186.3146716,64632402.47458432
2020-11-14 00:00:00 UTC,29.18348938011425,989163131.68572,46374964.61487351
2020-11-15 00:00:00 UTC,29.30824108353713,1010701349.2476012,46656076.5521233
2020-11-16 00:00:00 UTC,27.75459697519261,972306708.8565435,64355871.76105965
2020-11-17 00:00:00 UTC,27.474158502461556,983242022.5802613,66990195.44150138
2020-11-18 00:00:00 UTC,29.046635911004422,1053531538.706992,98404410.9168624
2020-11-19 00:00:00 UTC,28.88404112728385,1065566004.7832322,76981354.93860403
2020-11-20 00:00:00 UTC,28.836418294945478,1078997738.3542826,44549185.46211414
2020-11-21 00:00:00 UTC,29.03297941534771,1104845751.636248,66565828.96830781
2020-11-22 00:00:00 UTC,29.83538546337033,1152020550.603267,109827003.611973
2020-11-23 00:00:00 UTC,28.97455195566526,1136336865.4502778,74525001.3501965
2020-11-24 00:00:00 UTC,29.152495615482497,1159770309.1231425,64478008.08559004
2020-11-25 00:00:00 UTC,29.69480828811275,1202725591.6704721,119023651.0218042
2020-11-26 00:00:00 UTC,31.07648322699985,1264360564.8794208,246696676.84408388
2020-11-27 00:00:00 UTC,29.85999550589436,1249059351.6282349,176400314.3852683
2020-11-28 00:00:00 UTC,29.95602803974997,1269516701.928657,71663334.72888185
2020-11-29 00:00:00 UTC,29.92724371697021,1287329451.1674116,52092461.75053196
2020-11-30 00:00:00 UTC,29.965749227603197,1305347569.5699756,41468964.75579041
2020-12-01 00:00:00 UTC,30.29109280671896,1343914271.7988675,80327102.26846689
2020-12-02 00:00:00 UTC,30.22263361850741,1350662411.9702575,105841737.79278883
2020-12-03 00:00:00 UTC,30.63893034749773,1366916570.9937828,69844238.14378643
2020-12-04 00:00:00 UTC,30.45112380705019,1354592881.154428,58750507.88848269
2020-12-05 00:00:00 UTC,29.105538607487997,1298555662.3133626,75895542.16327609
2020-12-06 00:00:00 UTC,29.87712017419013,1331599671.2784324,47680577.81577241
2020-12-07 00:00:00 UTC,29.30620969391049,1305959182.3082852,49225331.17725182
2020-12-08 00:00:00 UTC,30.535994423804752,1360443036.0415494,147780373.59187344
2020-12-09 00:00:00 UTC,29.964229165044685,1336608928.1296468,111523277.94696948
2020-12-10 00:00:00 UTC,30.496371093809252,1360379788.5401053,176605247.7615105
2020-12-11 00:00:00 UTC,30.57751840106113,1367452564.0494235,199008674.94860765
2020-12-12 00:00:00 UTC,29.91535629629321,1335651652.1960726,154565320.19918707
2020-12-13 00:00:00 UTC,30.024411947221175,1339216964.0735939,80109565.12199341
2020-12-14 00:00:00 UTC,30.079610224401627,1340054073.0953796,75097275.78166607
2020-12-15 00:00:00 UTC,29.377855357033162,1310997955.8092475,94322817.19191422
2020-12-16 00:00:00 UTC,29.141461175451354,1299271237.7283945,100309846.01202284
2020-12-17 00:00:00 UTC,28.474725572619466,1268748005.778233,146855150.16733792
2020-12-18 00:00:00 UTC,28.43466876543188,1269199574.8423693,154310089.44720033
2020-12-19 00:00:00 UTC,28.482447577977144,1268920902.3581285,83877190.71861382
2020-12-20 00:00:00 UTC,28.28646354859127,1260896801.4375882,100393244.21757032
2020-12-21 00:00:00 UTC,28.425579402798967,1265640429.2541573,77355912.35110064
2020-12-22 00:00:00 UTC,25.12541700786485,1116963470.7828882,189143189.4605951
2020-12-23 00:00:00 UTC,24.65938330963582,1098521764.2124968,208100019.62737167
2020-12-24 00:00:00 UTC,22.393877730770093,1002020727.4238386,153502569.82116878
2020-12-25 00:00:00 UTC,23.711485929216284,1070477089.0000273,110589136.64800124
2020-12-26 00:00:00 UTC,24.19868044306187,1066903272.1972157,128403111.3761988
2020-12-27 00:00:00 UTC,23.60731416624901,1053399876.4856431,53592093.62123639
2020-12-28 00:00:00 UTC,22.26786214815625,996416285.453616,90932583.26916578
2020-12-29 00:00:00 UTC,22.01666548879005,984958783.1406096,78548169.26898716
2020-12-30 00:00:00 UTC,20.414291266609762,910450449.0266373,109330498.67486332
2020-12-31 00:00:00 UTC,21.667585858799086,971502565.7987248,112612320.89277671
2021-01-01 00:00:00 UTC,24.332649074568128,1085852456.2044306,221650260.12354195
2021-01-02 00:00:00 UTC,22.26545151346079,997801424.66661,157364231.6607094
2021-01-03 00:00:00 UTC,21.828358282862826,972755571.7195724,112849343.36025542
2021-01-04 00:00:00 UTC,21.57733458634147,961823165.8483748,118001030.48272939
2021-01-05 00:00:00 UTC,20.971516044607387,933651801.4490068,139133407.45189843
2021-01-06 00:00:00 UTC,21.637499704274397,965061654.5564216,123548680.69304316
2021-01-07 00:00:00 UTC,21.965644230617574,981791589.8081679,119647759.11144678
2021-01-08 00:00:00 UTC,22.141311677022404,985030080.1124637,150413994.76491714
2021-01-09 00:00:00 UTC,21.66795712491178,963811421.3661203,99060370.37174033
2021-01-10 00:00:00 UTC,22.236827441240354,992984336.0991168,89014120.9442777
2021-01-11 00:00:00 UTC,23.581049628823123,1050431927.9268967,265355918.2132592
2021-01-12 00:00:00 UTC,21.57096144593361,963053856.3708664,193306939.6571558
2021-01-13 00:00:00 UTC,21.12715265139296,942008771.8480518,100775458.4736598
2021-01-14 00:00:00 UTC,21.719502249805913,967935922.4577,85333698.64277309
2021-01-15 00:00:00 UTC,21.597018558280833,961793556.0164002,95089736.96209514
2021-01-16 00:00:00 UTC,21.55767701576657,961842010.9547046,111122862.28792427
2021-01-17 00:00:00 UTC,22.87440971406909,1017544913.0502764,265852064.7538983
2021-01-18 00:00:00 UTC,24.28820869310656,1086015386.889698,418766559.2227876
2021-01-19 00:00:00 UTC,23.684633896638175,1054182976.9254099,190043176.4465864
2021-01-20 00:00:00 UTC,22.677761060382128,1016126534.6996398,179386491.65251583
2021-01-21 00:00:00 UTC,22.38911255715604,999485111.4107953,157883219.84480947
2021-01-22 00:00:00 UTC,21.25821713351011,959850230.1019528,136807313.37180814
2021-01-23 00:00:00 UTC,22.287890650908047,1013184171.7935617,265570456.7522708
2021-01-24 00:00:00 UTC,22.689629447925178,1030043615.6160412,178166580.32060942
2021-01-25 00:00:00 UTC,22.74403539205069,1041453667.3598424,113922341.15192428
2021-01-26 00:00:00 UTC,22.437500087328768,1030150090.3237168,113665132.12374684
2021-01-27 00:00:00 UTC,22.1925456760997,1022176234.7866141,108009750.5536428
2021-01-28 00:00:00 UTC,21.487187697632645,993902507.9448187,120101620.34008132
2021-01-29 00:00:00 UTC,21.8854040112982,1015996115.5149171,92083831.1991965
2021-01-30 00:00:00 UTC,22.257271685326735,1045513789.0047519,153450534.2496623
2021-01-31 00:00:00 UTC,21.99998473077016,1036800625.6575936,95376696.00539283
2021-02-01 00:00:00 UTC,22.227610787381238,1052624446.4618397,103409399.27386583
2021-02-02 00:00:00 UTC,22.55238565355764,1073176630.2547332,231322958.98421144
2021-02-03 00:00:00 UTC,22.47521042202928,1079812140.2858324,96428957.9595578
2021-02-04 00:00:00 UTC,23.06760130798725,1110368380.3902166,115763697.62767117
2021-02-05 00:00:00 UTC,22.92172208592223,1112234002.2407944,117656546.07689022
2021-02-06 00:00:00 UTC,24.57446884779377,1188786069.8665295,273547244.93157846
2021-02-07 00:00:00 UTC,24.278484379329623,1186863367.8317685,199355815.9623277
2021-02-08 00:00:00 UTC,23.987391004351554,1175194860.1859305,145131650.47190964
2021-02-09 00:00:00 UTC,27.70011077465989,1374842804.4478025,408148036.84547263
2021-02-10 00:00:00 UTC,43.360374735209504,2142897308.3311503,2018558778.081268
2021-02-11 00:00:00 UTC,39.83493112722617,1971932959.070821,1482429519.8551733
2021-02-12 00:00:00 UTC,40.16373821479947,1998338676.5334198,668497999.8765751
2021-02-13 00:00:00 UTC,42.62932475518272,2140422574.16398,683422595.7182387
2021-02-14 00:00:00 UTC,41.580429804999596,2142329180.7463536,596507370.4801487
2021-02-15 00:00:00 UTC,47.48170031292962,2440728114.286204,1255805215.286584
2021-02-16 00:00:00 UTC,42.82140277429121,2228229756.2017245,1155967038.2529702
2021-02-17 00:00:00 UTC,41.945063197320906,2198005616.56047,531467623.55873966
2021-02-18 00:00:00 UTC,43.213434092137746,2268914317.126997,449474431.4872351
2021-02-19 00:00:00 UTC,43.474011615378686,2287446142.634004,355707147.3845515
2021-02-20 00:00:00 UTC,43.24926513227452,2303472010.7398977,437942890.24962413
2021-02-21 00:00:00 UTC,43.51944064392642,2315945991.570518,869684870.756501
2021-02-22 00:00:00 UTC,44.91251555408171,2425826130.089612,456068345.5358676
2021-02-23 00:00:00 UTC,39.67700609254747,2146856903.1900074,794534875.2646402
2021-02-24 00:00:00 UTC,35.50615145088347,1924240469.6353106,691225109.6530237
2021-02-25 00:00:00 UTC,36.63152164480715,2010058408.662299,397649847.1812335
2021-02-26 00:00:00 UTC,34.723303510322715,1910955685.2741046,264285853.6082912
2021-02-27 00:00:00 UTC,35.261451877457816,1941888070.5517406,298539639.6716991
2021-02-28 00:00:00 UTC,38.44666442315151,2110732695.982334,336780271.70537364
2021-03-01 00:00:00 UTC,35.91265634802496,2003104136.502289,277301058.3470409
2021-03-02 00:00:00 UTC,38.45901953115621,2164153550.192331,322181953.2074265
2021-03-03 00:00:00 UTC,38.31071118578107,2153057387.875239,251862479.7360264
2021-03-04 00:00:00 UTC,42.24686832392668,2406002229.8142557,621298264.1719575
2021-03-05 00:00:00 UTC,41.002998298541115,2355361326.598205,427519921.17803264
2021-03-06 00:00:00 UTC,40.56939365790439,2329304394.519402,319316213.77583396
2021-03-07 00:00:00 UTC,40.53038646783962,2327064784.53159,223292026.90972465
2021-03-08 00:00:00 UTC,41.574836422593386,2386866899.8046827,198635220.8111149
2021-03-09 00:00:00 UTC,41.57849166422764,2387865517.419101,224007847.4632438
2021-03-10 00:00:00 UTC,42.061149669738604,2415188501.5157466,269380019.2406836
2021-03-11 00:00:00 UTC,42.56818443341396,2444282241.8423986,340076876.3887776
2021-03-12 00:00:00 UTC,42.224434421122076,2422221608.4778447,267159160.4139977
2021-03-13 00:00:00 UTC,44.00824268655271,2527610840.869442,437864214.4669819
2021-03-14 00:00:00 UTC,49.74767465540785,2858128526.5366325,824403628.202127
2021-03-15 00:00:00 UTC,54.55724867608124,3161301690.4076986,1119320690.627316
2021-03-16 00:00:00 UTC,53.16391421722717,3066932662.6924977,745993736.1848178
2021-03-17 00:00:00 UTC,62.65618987815652,3615023414.3131533,988516080.6281383
2021-03-18 00:00:00 UTC,89.70381977480129,5350371555.607415,3604161978.681907
2021-03-19 00:00:00 UTC,79.57344979710611,4590835443.430657,2648702442.576066
2021-03-20 00:00:00 UTC,83.51011824696269,4904128106.002664,1385630340.844179
2021-03-21 00:00:00 UTC,82.60174109720681,4884445974.147498,762519370.1020749
2021-03-22 00:00:00 UTC,81.08354931270623,4819290051.094561,574833558.4724399
2021-03-23 00:00:00 UTC,76.58984400573706,4603346612.288364,710201043.6801836
2021-03-24 00:00:00 UTC,82.97062583001816,4954574345.324014,1144772562.4794574
2021-03-25 00:00:00 UTC,86.01970880657534,5239968618.420825,1657490858.5368512
2021-03-26 00:00:00 UTC,90.42028829079466,5467789226.430096,1764777780.6520574
2021-03-27 00:00:00 UTC,125.38477689675959,7663405093.83748,3485114028.8653607
2021-03-28 00:00:00 UTC,132.5487198812614,8116732135.001581,4275219206.6697392
2021-03-29 00:00:00 UTC,125.42929797188495,7707732162.522902,2152710677.8469753
2021-03-30 00:00:00 UTC,127.36068517777711,7858661662.057314,1367051616.8161914
2021-03-31 00:00:00 UTC,149.8513526353999,9346428738.18051,2993590309.8761377
2021-04-01 00:00:00 UTC,189.57559567550769,11887088710.101212,6658959382.907221
2021-04-02 00:00:00 UTC,187.6106885242548,11982302303.368631,9084876444.16744
2021-04-03 00:00:00 UTC,171.21211901958299,10997142646.531992,5382961003.897155
2021-04-04 00:00:00 UTC,177.30164168198158,11318036521.764193,3274974054.5061398
2021-04-05 00:00:00 UTC,183.2038417805384,11829678782.236479,2864402970.091895
2021-04-06 00:00:00 UTC,177.3921718175483,11402316362.314384,1745434861.4106126
2021-04-07 00:00:00 UTC,165.83692357345282,10766940513.53704,1439233249.9571154
2021-04-08 00:00:00 UTC,156.19389441878076,10191782324.67231,3603564397.585422
2021-04-09 00:00:00 UTC,154.7655246174137,10098092961.26499,1514788674.9169855
2021-04-10 00:00:00 UTC,171.87882016120793,11367767095.007366,2326843447.729039
2021-04-11 00:00:00 UTC,174.47939711737942,11422177636.132494,2316225383.034407
